Lahan Parkir,Kamar Tidur,Kamar Mandi,Luas Bangunan,Luas Tanah,Harga,Harga (Juta Rupiah)
0.0,4,3,200,268.0,2450000000,2450.0
0.0,6,2,260,163.0,2500000000,2500.0
0.0,6,4,450,286.0,2750000000,2750.0
1.0,5,6,350,200.0,2900000000,2900.0
1.0,3,3,100,120.0,1070000000,1070.0
1.0,3,2,100,80.0,1650000000,1650.0
0.0,3,3,90,100.0,995000000,995.0
0.0,5,1,175,215.0,2700000000,2700.0
0.0,2,1,45,72.0,180000000,180.0
1.0,3,3,130,95.0,1500000000,1500.0
0.0,5,4,200,120.0,1800000000,1800.0
0.0,4,4,180,140.0,1700000000,1700.0
0.0,2,1,36,50.0,150000000,150.0
0.0,3,3,123,100.0,1450000000,1450.0
0.0,2,2,100,120.0,1200000000,1200.0
0.0,3,2,61,161.0,2500000000,2500.0
0.0,3,2,58,84.0,1500000000,1500.0
0.0,2,1,45,72.0,100000000,100.0
2.0,5,2,130,127.0,1600000000,1600.0
2.0,5,2,450,290.0,2700000000,2700.0
0.0,6,2,130,156.0,1550000000,1550.0
0.0,2,1,45,72.0,260000000,260.0
0.0,3,3,94,96.0,2900000000,2900.0
0.0,2,1,42,72.0,880000000,880.0
0.0,3,2,120,126.0,1450000000,1450.0
1.0,3,3,160,106.0,2250000000,2250.0
2.0,3,2,100,80.0,1650000000,1650.0
3.0,6,2,200,200.0,975000000,975.0
1.0,11,7,200,125.0,2100000000,2100.0
1.0,7,2,200,163.0,1300000000,1300.0
0.0,1,1,21,35.0,125000000,125.0
0.0,5,3,231,281.0,2300000000,2300.0
2.0,4,4,200,215.0,2000000000,2000.0
0.0,2,1,31,75.0,1190000000,1190.0
0.0,2,1,31,75.0,1193000000,1193.0
1.0,2,2,50,72.0,699000000,699.0
0.0,7,4,230,219.0,3700000000,3700.0
1.0,2,1,60,110.0,1100000000,1100.0
0.0,2,2,94,90.0,2200000000,2200.0
0.0,3,1,58,90.0,1650000000,1650.0
1.0,3,3,230,251.0,2700000000,2700.0
1.0,3,2,80,101.0,850000000,850.0
1.0,2,1,50,84.0,1450000000,1450.0
2.0,5,4,140,110.0,2450000000,2450.0
1.0,3,2,158,102.0,950000000,950.0
0.0,8,8,220,120.0,2600000000,2600.0
1.0,3,3,135,90.0,1890000000,1890.0
1.0,4,2,145,91.0,1350000000,1350.0
1.0,2,1,70,144.0,750000000,750.0
0.0,3,2,110,72.0,475000000,475.0
1.0,4,3,200,100.0,2900000000,2900.0
0.0,3,2,100,160.0,1750000000,1750.0
0.0,5,4,170,133.0,2700000000,2700.0
1.0,3,3,115,90.0,1480000000,1480.0
1.0,4,2,50,140.0,1500000000,1500.0
2.0,5,3,175,141.0,1699000000,1699.0
0.0,13,13,200,100.0,1900000000,1900.0
0.0,7,3,200,300.0,2500000000,2500.0
0.0,4,4,150,400.0,3300000000,3300.0
0.0,4,4,127,126.0,2650000000,2650.0
