,Kamar Tidur,Kamar Mandi,Luas Bangunan,Luas Tanah,Harga
265,4.0,3.0,160.0,126.0,2150000000
266,3.0,2.0,110.0,135.0,1200000000
267,5.0,3.0,180.0,268.0,3500000000
268,3.0,2.0,100.0,120.0,1450000000
269,5.0,3.0,160.0,237.0,2750000000
271,3.0,2.0,136.0,96.0,1300000000
272,3.0,2.0,85.0,90.0,1500000000
273,6.0,3.0,144.0,90.0,1200000000
274,4.0,3.0,400.0,348.0,3500000000
275,5.0,5.0,250.0,192.0,1700000000
276,3.0,2.0,66.0,92.0,1270000000
277,2.0,2.0,50.0,93.0,742000000
278,4.0,2.0,85.0,92.0,1050000000
279,4.0,4.0,250.0,192.0,1550000000
280,3.0,2.0,100.0,108.0,1090000000
281,5.0,3.0,160.0,105.0,980000000
282,5.0,5.0,250.0,190.0,1550000000
283,3.0,2.0,83.0,86.0,1300000000
284,2.0,1.0,33.0,64.0,350000000
285,2.0,1.0,45.0,64.0,595087000
286,2.0,2.0,60.0,69.0,750000000
287,5.0,2.0,150.0,119.0,995000000
288,5.0,3.0,280.0,120.0,2300000000
289,2.0,1.0,55.0,90.0,695000000
290,4.0,3.0,150.0,126.0,2300000000
293,3.0,2.0,212.0,256.0,2750000000
294,3.0,2.0,109.0,90.0,1250000000
295,3.0,2.0,85.0,90.0,1499000000
296,6.0,5.0,150.0,279.0,2800000000
297,4.0,2.0,100.0,98.0,990000000
298,3.0,3.0,108.0,108.0,1300000000
299,4.0,2.0,230.0,278.0,1350000000
300,5.0,3.0,160.0,237.0,2750000000
301,3.0,2.0,85.0,90.0,1500000000
302,3.0,2.0,97.0,107.0,1249900000
303,6.0,2.0,144.0,90.0,1200000000
305,3.0,3.0,140.0,96.0,1200000000
306,2.0,1.0,36.0,95.0,449000000
307,2.0,1.0,33.0,63.0,350068700
308,2.0,1.0,45.0,63.0,595000000
309,2.0,2.0,60.0,68.0,750000000
310,3.0,2.0,110.0,135.0,1200000000
311,5.0,5.0,250.0,192.0,1550000000
312,2.0,1.0,60.0,108.0,1399000000
313,2.0,1.0,58.0,55.0,666000000
314,3.0,3.0,176.0,136.0,2120000000
315,3.0,2.0,85.0,90.0,1500000000
316,2.0,2.0,50.0,72.0,980000000
317,4.0,3.0,95.0,90.0,1500000000
318,2.0,2.0,59.0,55.0,673000000
319,5.0,2.0,96.0,110.0,949000000
321,3.0,3.0,90.0,84.0,1175000000
322,7.0,4.0,350.0,239.0,3500000000
323,3.0,3.0,120.0,188.0,1675000000
324,4.0,3.0,160.0,126.0,2150000000
325,2.0,2.0,75.0,100.0,850000000
326,2.0,2.0,75.0,100.0,850000000
327,3.0,2.0,95.0,95.0,900000000
328,4.0,4.0,197.0,230.0,2450000000
329,4.0,2.0,230.0,278.0,1300000000
330,3.0,2.0,120.0,90.0,1200000000
331,5.0,2.0,110.0,135.0,2100000000
332,5.0,3.0,200.0,216.0,2560000000
333,4.0,3.0,200.0,245.0,3500000000
334,4.0,3.0,220.0,256.0,2900000000
335,3.0,2.0,120.0,187.0,1300000000
336,3.0,2.0,110.0,135.0,1200000000
337,3.0,2.0,140.0,86.0,1400000000
338,3.0,2.0,110.0,135.0,1200000000
339,3.0,2.0,110.0,135.0,1200000000
340,2.0,1.0,40.0,72.0,629900000
341,4.0,2.0,160.0,126.0,2150000000
342,3.0,2.0,110.0,135.0,1199000000
343,4.0,3.0,220.0,256.0,2900000000
344,4.0,3.0,216.0,200.0,2550000000
345,4.0,3.0,220.0,256.0,2900000000
346,10.0,5.0,194.0,154.0,1150000000
347,5.0,3.0,250.0,120.0,1300000000
