Kamar Tidur,Kamar Mandi,Luas Bangunan,Luas Tanah,Harga,Harga (Juta Rupiah)
3.0,1.0,122.0,99.0,995000000,995.0
3.0,2.0,90.0,90.0,450000000,450.0
3.0,1.0,120.0,99.0,995000000,995.0
4.0,4.0,155.0,119.0,1300000000,1300.0
5.0,3.0,187.0,215.0,1450000000,1450.0
3.0,2.0,90.0,90.0,550000000,550.0
2.0,1.0,60.0,140.0,630000000,630.0
4.0,2.0,100.0,149.0,975000000,975.0
2.0,1.0,45.0,108.0,785000000,785.0
4.0,2.0,92.0,85.0,980000000,980.0
2.0,1.0,50.0,72.0,725000000,725.0
2.0,1.0,36.0,68.0,531000000,531.0
3.0,2.0,90.0,108.0,1250000000,1250.0
4.0,3.0,135.0,96.0,1150000000,1150.0
2.0,1.0,40.0,60.0,580000000,580.0
2.0,1.0,50.0,78.0,670000000,670.0
2.0,1.0,50.0,78.0,670000000,670.0
2.0,1.0,44.0,67.0,589990000,589.99
3.0,2.0,49.0,76.0,499999593,500.0
3.0,2.0,60.0,71.0,654000000,654.0
2.0,1.0,80.0,108.0,1250000000,1250.0
3.0,2.0,80.0,104.0,680000000,680.0
3.0,2.0,65.0,98.0,785000000,785.0
2.0,1.0,50.0,78.0,670000000,670.0
3.0,1.0,100.0,300.0,1200000000,1200.0
2.0,1.0,45.0,67.0,590000000,590.0
2.0,1.0,45.0,100.0,550000000,550.0
3.0,2.0,155.0,100.0,1200000000,1200.0
5.0,4.0,250.0,210.0,2500000000,2500.0
3.0,3.0,100.0,100.0,1200000000,1200.0
4.0,2.0,200.0,225.0,910000000,910.0
2.0,1.0,50.0,92.0,800000000,800.0
2.0,2.0,75.0,100.0,950000000,950.0
4.0,2.0,106.0,98.0,1450000000,1450.0
3.0,3.0,150.0,102.0,1475000000,1475.0
3.0,3.0,100.0,100.0,1250000000,1250.0
4.0,2.0,100.0,149.0,1050000000,1050.0
3.0,1.0,100.0,300.0,1200000000,1200.0
2.0,1.0,40.0,72.0,499000000,499.0
4.0,2.0,240.0,125.0,1350000000,1350.0
3.0,3.0,150.0,120.0,1500000000,1500.0
2.0,1.0,85.0,94.0,580000000,580.0
5.0,4.0,245.0,186.0,1400000000,1400.0
3.0,3.0,100.0,100.0,1150000000,1150.0
2.0,1.0,36.0,76.0,449000000,449.0
2.0,2.0,113.0,112.0,1300000000,1300.0
2.0,2.0,60.0,60.0,649000000,649.0
3.0,2.0,70.0,95.0,840000000,840.0
2.0,1.0,50.0,100.0,740000000,740.0
2.0,2.0,75.0,100.0,850000000,850.0
4.0,2.0,140.0,176.0,1299000000,1299.0
2.0,2.0,80.0,105.0,875000000,875.0
4.0,3.0,277.0,239.0,1650000000,1650.0
4.0,2.0,240.0,120.0,1320000000,1320.0
3.0,2.0,210.0,163.0,1900000000,1900.0
2.0,2.0,80.0,160.0,1540000000,1540.0
2.0,2.0,60.0,85.0,980000000,980.0
2.0,2.0,55.0,76.0,635000000,635.0
4.0,3.0,220.0,271.0,1380000000,1380.0
3.0,2.0,220.0,160.0,1500000000,1500.0
5.0,5.0,280.0,210.0,1850000000,1850.0
3.0,2.0,70.0,116.0,850000000,850.0
3.0,3.0,131.0,97.0,1175000000,1175.0
3.0,2.0,170.0,100.0,1075000000,1075.0
3.0,1.0,145.0,177.0,1125000000,1125.0
5.0,2.0,180.0,182.0,1850000000,1850.0
4.0,2.0,200.0,120.0,995000000,995.0
3.0,3.0,100.0,100.0,1200000000,1200.0
3.0,2.0,90.0,98.0,875000000,875.0
3.0,1.0,94.0,108.0,960000000,960.0
5.0,2.0,160.0,353.0,1850000000,1850.0
3.0,2.0,120.0,150.0,950000000,950.0
3.0,1.0,100.0,116.0,675000000,675.0
2.0,1.0,60.0,78.0,745000000,745.0
2.0,1.0,60.0,93.0,840000000,840.0
2.0,1.0,90.0,133.0,895000000,895.0
2.0,2.0,80.0,100.0,775000000,775.0
2.0,1.0,50.0,100.0,795000000,795.0
2.0,1.0,46.0,72.0,200000000,200.0
3.0,2.0,135.0,140.0,1900000000,1900.0
4.0,3.0,160.0,180.0,600000000,600.0
3.0,3.0,100.0,100.0,1200000000,1200.0
3.0,3.0,100.0,100.0,1200000000,1200.0
4.0,2.0,120.0,144.0,950000000,950.0
3.0,1.0,145.0,177.0,1300000000,1300.0
3.0,2.0,177.0,100.0,1300000000,1300.0
3.0,3.0,133.0,100.0,1350000000,1350.0
3.0,2.0,122.0,327.0,1650000000,1650.0
2.0,2.0,68.0,97.0,780000000,780.0
3.0,2.0,160.0,327.0,1850000000,1850.0
2.0,1.0,40.0,72.0,675000000,675.0
7.0,4.0,288.0,176.0,2200000000,2200.0
5.0,4.0,180.0,133.0,1850000000,1850.0
3.0,2.0,120.0,327.0,1650000000,1650.0
4.0,3.0,115.0,100.0,995000000,995.0
3.0,3.0,100.0,100.0,1200000000,1200.0
2.0,1.0,50.0,78.0,670000000,670.0
4.0,2.0,100.0,98.0,990000000,990.0
3.0,3.0,106.0,70.0,1145000000,1145.0
4.0,2.0,100.0,115.0,1099000000,1099.0
4.0,3.0,288.0,216.0,1900000000,1900.0
2.0,1.0,70.0,105.0,1050000000,1050.0
4.0,3.0,150.0,142.0,2650000000,2650.0
4.0,4.0,208.0,300.0,2900000000,2900.0
3.0,2.0,122.0,327.0,1650000000,1650.0
3.0,2.0,327.0,120.0,1649000000,1649.0
3.0,2.0,120.0,327.0,2500000000,2500.0
4.0,3.0,150.0,142.0,2650000000,2650.0
4.0,2.0,98.0,119.0,1100000000,1100.0
4.0,4.0,200.0,175.0,1300000000,1300.0
4.0,2.0,200.0,175.0,1300000000,1300.0
4.0,3.0,90.0,139.0,1350000000,1350.0
3.0,3.0,100.0,100.0,1200000000,1200.0
2.0,2.0,90.0,126.0,1200000000,1200.0
3.0,3.0,115.0,70.0,1300000000,1300.0
2.0,1.0,60.0,90.0,699000000,699.0
3.0,2.0,90.0,133.0,995000000,995.0
3.0,2.0,220.0,153.0,1400000000,1400.0
2.0,2.0,45.0,61.0,479000000,479.0
2.0,2.0,115.0,115.0,1350000000,1350.0
3.0,2.0,100.0,120.0,850000000,850.0
4.0,2.0,100.0,149.0,1050000000,1050.0
4.0,4.0,180.0,220.0,2800000000,2800.0
3.0,3.0,145.0,208.0,2300000000,2300.0
6.0,4.0,200.0,240.0,2800000000,2800.0
2.0,3.0,58.0,72.0,747000000,747.0
4.0,3.0,110.0,100.0,980000000,980.0
3.0,1.0,94.0,60.0,600000000,600.0
5.0,4.0,170.0,133.0,1850000000,1850.0
3.0,2.0,140.0,176.0,1125000000,1125.0
4.0,3.0,170.0,130.0,1850000000,1850.0
3.0,3.0,130.0,96.0,1200000000,1200.0
1.0,1.0,90.0,126.0,1200000000,1200.0
3.0,2.0,60.0,63.0,628000000,628.0
3.0,2.0,180.0,128.0,1150000000,1150.0
3.0,3.0,115.0,70.0,1300000000,1300.0
3.0,3.0,205.0,300.0,2800000000,2800.0
4.0,2.0,120.0,126.0,740000000,740.0
2.0,1.0,52.0,87.0,680000000,680.0
2.0,1.0,60.0,33.0,475000000,475.0
3.0,3.0,100.0,101.0,1150000000,1150.0
2.0,1.0,45.0,61.0,479000000,479.0
3.0,2.0,66.0,99.0,794900000,794.9
4.0,3.0,90.0,139.0,1350000000,1350.0
3.0,2.0,62.0,61.0,745000000,745.0
3.0,3.0,100.0,100.0,1150000000,1150.0
3.0,3.0,98.0,100.0,1150000000,1150.0
3.0,2.0,70.0,115.0,1500000000,1500.0
2.0,2.0,120.0,180.0,1100000000,1100.0
5.0,3.0,200.0,360.0,2200000000,2200.0
3.0,2.0,167.0,315.0,2500000000,2500.0
4.0,2.0,200.0,120.0,990000000,990.0
3.0,3.0,115.0,146.0,1350000000,1350.0
3.0,2.0,85.0,60.0,900000000,900.0
5.0,4.0,150.0,176.0,1300000000,1300.0
3.0,2.0,96.0,91.0,860000000,860.0
3.0,2.0,148.0,205.0,1600000000,1600.0
3.0,2.0,70.0,95.0,850000000,850.0
3.0,2.0,100.0,120.0,795000000,795.0
4.0,4.0,155.0,120.0,1350000000,1350.0
3.0,2.0,75.0,103.0,945000000,945.0
4.0,2.0,122.0,110.0,1290000000,1290.0
4.0,3.0,135.0,96.0,1185000000,1185.0
3.0,2.0,65.0,98.0,795000000,795.0
4.0,3.0,120.0,110.0,1400000000,1400.0
3.0,2.0,178.0,90.0,950000000,950.0
3.0,2.0,145.0,208.0,2600000000,2600.0
3.0,2.0,70.0,95.0,875000000,875.0
2.0,2.0,55.0,50.0,585000000,585.0
3.0,3.0,136.0,98.0,1500000000,1500.0
3.0,2.0,70.0,95.0,850000000,850.0
